,Mean_1,Mean_2,SD_2,Obli_2,Kurt_2,ES1_2,ES2_2,simple_mean2,Mean_3,SD_3,Obli_3,Kurt_3,simple_mean3,flair
279,35.34736228475765,166.90909090909093,14.788191206958128,-20.026049324185966,435.2691154486227,0.7978487882369945,20.0,2.933333333333333,11.943181818181818,8.131529480621396,11.022108834594823,133.5280345512757,3.52,12
280,14.562475087691327,50.706896551724135,3.5172413793103448,-1.5574699846279612,68.26203923900117,0.25003615112083527,5.0,0.9666666666666667,8.551724137931036,7.7441243885018896,23.848491629031088,179.47081341310195,1.16,13
281,32.417749521683675,88.92307692307693,5.3917535104230945,-9.511330540947869,71.2869822485209,0.39005594447761405,10.0,0.43333333333333335,6.923076923076923,7.097795307336784,21.820852252900146,178.27052970881235,0.52,19
282,38.1970065369898,145.3862559241706,22.72145051421779,-59.49318850860029,1656.9145764228088,1.0091871557213747,16.0,7.033333333333333,9.436018957345972,7.6604128729153285,19.92345431566206,155.70672884639936,8.44,20
283,42.03443379304847,154.11079545454544,23.436336575807335,-56.58677227272158,1304.2899154867564,1.0115586857428753,18.0,5.866666666666666,9.375,7.161787010363976,19.578043195648743,159.74482080298543,7.04,21
284,32.252346739477034,127.5,8.5,-13.517206665323195,148.0681818181818,0.5536044944465767,15.0,1.4666666666666666,6.909090909090909,3.4497574474564137,-2.7636909268118717,21.495437327823687,1.76,11
285,25.131412428252553,90.14112903225805,13.496723091519552,22.701231723010952,484.9202520169431,0.7779996723266352,9.0,8.266666666666667,9.818548387096772,7.420230269180242,16.85486497379884,148.55952880834116,9.92,12
286,34.86137296715561,102.43220338983052,27.926121910777045,164.7528863485019,1992.3528418848784,0.7447508044100237,9.0,1.9666666666666666,4.033898305084746,5.148526534959645,30.30100779219494,265.18896512052066,2.36,13
287,31.3031080596301,101.42045454545453,9.741804936958657,-49.65108288389179,668.1623349565158,0.5959705522491331,11.0,2.933333333333333,9.909090909090908,8.061745191780131,18.35957266415081,155.42160162851116,3.52,14
288,32.1273118622449,117.8913043478261,10.426717898013914,13.15974307085823,231.06046062068367,0.6563330821348768,12.0,1.5333333333333334,5.608695652173913,4.641393441767832,15.709802684425924,153.8997787835217,1.84,15
289,35.64223931760204,136.30722891566268,28.724945219499727,61.38370316256761,1725.2463890984927,1.0799330151467585,13.0,5.533333333333333,6.018072289156626,5.090119050334826,20.00054924528985,190.24966785347505,6.64,16
290,31.51421496332908,106.55050505050505,10.41475617619397,-9.39299254617847,316.997195325346,0.6966951030468007,11.0,3.3,3.97979797979798,4.590239530687569,29.178227242075394,284.4458945914107,3.96,17
291,36.479761240433675,128.45670995670997,14.723213567256426,7.136268531611873,507.28400734600183,0.8445260768202749,13.0,7.7,4.264069264069264,4.591961626540239,24.7156642072155,235.5153148946253,9.24,18
292,40.375513193558675,137.0388888888889,17.837002910789305,83.4708900743627,1852.0245164932096,0.8845441457204594,15.0,9.0,4.5777777777777775,5.127943298159195,27.819854940035786,251.99971410348175,10.8,19
293,34.113256337691325,132.8705463182898,20.754342748734302,48.94187512517463,1384.7457099104313,0.977854360557692,15.0,14.033333333333333,7.422802850356294,6.452593632841425,23.852682416218556,196.6181049273594,16.84,20
294,33.80737802933674,179.43782837127847,46.740930789254186,-29.203450405049736,3698.557699353757,1.2302185552312672,14.0,19.033333333333335,10.052539404553414,7.660760871095248,14.968610361735529,144.34228827883445,22.84,21
295,34.45554647640306,169.4795918367347,41.09269749710409,209.63978145023825,3954.183182409088,1.1450424021970733,17.0,16.333333333333332,7.487755102040817,4.841240044091471,9.809585172713803,116.83855808796416,19.6,22
296,50.286641023596935,209.95000000000002,23.754420641219607,-141.75604120345128,2161.03736555698,0.9056679542666546,26.0,1.6666666666666667,4.04,4.171138933193188,22.706313311581635,228.2743604193489,2.0,23
297,38.701136997767854,211.3173913043478,20.0485639120072,30.30028747561975,983.4608691381951,0.960982657768847,23.0,3.8333333333333335,5.904347826086957,4.056072019434949,12.727111491771247,149.64459112805073,4.6,24
298,41.40117287149235,202.81182795698928,17.872895616934656,22.869734898923046,734.1278392252516,0.9054156350031696,24.0,3.1,3.043010752688172,3.199173208023933,20.928374911337016,246.45827633168813,3.72,25
