,Mean_1,Mean_2,SD_2,Obli_2,Kurt_2,ES1_2,ES2_2,simple_mean2,Mean_3,SD_3,Obli_3,Kurt_3,simple_mean3,flair
0,74.19253228635203,166.97794117647058,16.689920160891482,45.57898695624636,731.120993695991,1.7490379031612533,160.0,3.2,17.27328431372549,8.501445782321612,-15.791709921504756,136.31029417571438,32.64,19
1,47.49067306518555,210.8287516899504,44.2454588002478,-352.41680355009265,8097.604908124223,1.8365485406749453,254.0,8.701960784313725,13.92338891392519,5.717196379069788,6.523570491115207,96.72008448371585,88.76,22
2,65.88628029336735,65.44003754398118,70.11129868510709,334.92715819037295,9236.822933002606,1.6786550569392809,0.0,781.3058823529411,19.840458157032216,7.77192762312426,-26.085871037879922,178.49075147393427,7969.32,15
4,65.44063568115234,164.9720372496492,44.291852164995106,-299.27657352184997,9603.566189279989,2.1696407890120217,167.0,153.7058823529412,16.589233320576604,8.29513119809466,-11.292133609857675,123.20618947883263,1567.8,18
5,31.761783599853516,142.8699340245052,16.551238550184962,6.10768707268684,697.517923320427,1.7785247989081632,135.0,4.1607843137254905,12.098963242224317,7.554926665892816,9.565151752912962,125.76754171050845,42.44,33
6,69.11988281250001,35.96993226704014,58.049412137622134,799.9458071757408,18530.514942727816,1.3350590526682122,0.0,632.8196078431373,20.970378449392385,7.041457801741101,-28.560918506398554,195.6697673310074,6454.76,12
8,35.147247314453125,119.26315789473684,13.217565103855717,22.791387461471842,428.3440885366519,1.6272021148905218,110.0,0.9686274509803922,11.072874493927124,6.581377315183731,10.967654649249365,133.75866147395183,9.88,20
9,40.40595603475765,142.5621301775148,44.33459370528436,249.8343185210889,9971.665581951973,1.939227422978381,254.0,6.627450980392157,17.18757396449704,8.236789281306619,-14.274129169775593,131.755677101507,67.6,24
10,47.61512476084184,210.24999999999997,43.70006925202269,-489.1974240839898,13921.071148881669,1.8569687111176114,254.0,11.92156862745098,14.428947368421053,6.060187503384469,4.09247205377717,95.27488358152226,121.6,18
11,37.16055679321289,221.19148936170214,30.52075561505181,-155.05088953187015,3231.692616556528,1.408092752290781,254.0,0.1843137254901961,7.617021276595744,5.571787564069702,17.07217026575032,143.96893594815018,1.88,16
